,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
360,Georges Niang,UTA,PF,0.39195979899497485,0.21441176470588239,0.5138888888888888,0.7012987012987013,0.58,0.2443243243243243,0.4356626506024096,0.20700152207001526,0.13610586011342155,0.5,0.35,0.25,0.22,0.16,0.13,0.06,0.06,0.02,0.2,0.15,0.17,0.06,0.08,0.16,0.2,0.38
361,Joakim Noah,LAC,C,0.32160804020100503,0.4761764705882352,0.6329059829059829,0.6493506493506493,0.01,0.55,0.37831325301204816,0.21156773211567736,0.223062381852552,0.6999999999999998,0.23,0.0,0.0,0.25,0.23,0.12,0.2,0.13,0.38,0.38,0.37,0.09,0.31,0.28,0.29,0.26
362,Nerlens Noel,OKC,C,0.7160804020100503,0.5041176470588236,0.6916666666666668,0.7922077922077921,0.0,0.4275675675675676,0.38265060240963855,0.26331811263318117,0.41587901701323254,0.65,0.27,0.0,0.0,0.35,0.27,0.13,0.19,0.09,0.3,0.29,0.14,0.18,0.5,0.24,0.28,0.34
363,Zach Norvell,GSW,SG,0.010050251256281407,0.1626470588235294,0.2923076923076923,0.33766233766233766,0.44,0.23945945945945946,0.3281927710843373,0.15525114155251143,0.01890359168241966,0.40000000000000036,0.29,0.21,0.19,0.0,0.1,0.05,0.05,0.0,0.22,0.15,0.21,0.15,0.0,0.29,0.22,0.22
364,Jaylen Nowell,MIN,SG,0.035175879396984924,0.21764705882352942,0.5170940170940171,0.6103896103896104,0.49,0.12162162162162163,0.4168674698795181,0.16742770167427704,0.01890359168241966,0.3499999999999999,0.35,0.06,0.17,0.24,0.18,0.22,0.22,0.02,0.1,0.09,0.37,0.06,0.08,0.08,0.16,0.34
365,Frank Ntilikina,NYK,PG,0.44472361809045224,0.5488235294117646,0.45726495726495725,0.5844155844155844,0.37,0.14810810810810812,0.3939759036144579,0.07153729071537293,0.17580340264650282,0.3499999999999999,0.29,0.1,0.11,0.17,0.19,0.07,0.08,0.02,0.12,0.1,0.41,0.12,0.1,0.27,0.26,0.26
366,Kendrick Nunn,MIA,SG,0.1658291457286432,0.7826470588235294,0.5683760683760685,0.6883116883116883,0.43,0.13783783783783782,0.5807228915662651,0.19025875190258754,0.32136105860113423,0.2500000000000003,0.46,0.2,0.2,0.3,0.27,0.09,0.1,0.01,0.12,0.09,0.33,0.08,0.04,0.23,0.18,0.47
367,Jusuf Nurkic,POR,C,0.6407035175879398,0.6399999999999999,0.7094017094017095,0.6883116883116883,0.02,0.5081081081081081,0.6077108433734939,0.26864535768645365,0.4858223062381853,0.7500000000000003,0.43,0.0,0.01,0.48,0.42,0.21,0.31,0.11,0.36,0.35,0.25,0.11,0.44,0.36,0.29,0.48
368,David Nwaba,BRK,SF,0.4020100502512563,0.5235294117647058,0.5602564102564103,0.7402597402597402,0.2,0.2616216216216216,0.35277108433734944,0.2321156773211568,0.166351606805293,0.40000000000000036,0.25,0.04,0.05,0.24,0.21,0.14,0.22,0.05,0.2,0.18,0.15,0.1,0.15,0.16,0.23,0.31
369,Royce O'Neale,UTA,PF,0.5552763819095478,0.5667647058823531,0.5004273504273505,0.7402597402597402,0.53,0.27999999999999997,0.28120481927710844,0.2351598173515982,0.44990548204158787,0.3499999999999999,0.21,0.12,0.11,0.11,0.09,0.06,0.07,0.01,0.26,0.19,0.24,0.1,0.1,0.14,0.22,0.23
370,Kyle O'Quinn,PHI,C,0.7386934673366834,0.3267647058823529,0.6972222222222222,0.7272727272727273,0.08,0.5059459459459459,0.45253012048192776,0.27092846270928467,0.29867674858223064,0.6000000000000002,0.32,0.02,0.02,0.36,0.3,0.12,0.16,0.1,0.36,0.34,0.31,0.08,0.54,0.29,0.32,0.36
371,Semi Ojeleye,BOS,PF,0.4949748743718593,0.3305882352941176,0.43760683760683766,0.6753246753246753,0.63,0.20810810810810812,0.2575903614457831,0.17960426179604266,0.20226843100189038,0.4500000000000002,0.19,0.13,0.12,0.08,0.07,0.06,0.09,0.03,0.16,0.14,0.08,0.07,0.06,0.09,0.18,0.2
372,Jahlil Okafor,NOP,C,0.550251256281407,0.5202941176470588,0.6502136752136752,0.7532467532467532,0.01,0.36405405405405405,0.549156626506024,0.2077625570776256,0.16446124763705103,0.65,0.43,0.0,0.01,0.52,0.42,0.16,0.23,0.08,0.25,0.24,0.14,0.04,0.33,0.29,0.24,0.49
